,Название улицы/поселения,Район
94,Марксистская улица,Таганский
95,Марксистский переулок,Таганский
96,Мартыновский переулок,Таганский
97,Маяковского переулок,Таганский
98,Международная улица,Таганский
99,Мельникова улица,Таганский
100,Мельницкий переулок,Таганский
101,Михайловский проезд,Таганский
102,Моревский проезд,Таганский
103,Москворецкая набережная,Таганский
104,Народная улица,Таганский
105,Наставнический переулок,Таганский
106,Нижегородская улица,Таганский
107,Нижегородский переулок,Таганский
108,Нижний Таганский тупик,Таганский
109,Нижняя Радищевская улица,Таганский
110,Николоямская набережная,Таганский
111,Николоямская улица,Таганский
112,Николоямский переулок,Таганский
113,Николоямской тупик,Таганский
114,Новоконная площадь,Таганский
115,Новорогожская улица,Таганский
116,Новоселенский переулок,Таганский
117,Новоспасский мост,Таганский
118,Новоспасский переулок,Таганский
119,Новоспасский проезд,Таганский
120,Обуха переулок,Таганский
121,Певческий переулок,Таганский
122,Пестовский переулок,Таганский
123,Петропавловский переулок,Таганский
124,Подгорская набережная,Таганский
125,Подколокольный переулок,Таганский
126,Полуярославская набережная,Таганский
127,Прямикова улица,Таганский
128,Рабочая улица,Таганский
129,Рабочий 1-й переулок,Таганский
130,Рогожская Застава площадь,Таганский
131,Рогожский Вал улица,Таганский
132,Рюмин переулок,Таганский
133,Саринский проезд,Таганский
134,Сергия Радонежского улица,Таганский
135,Серебряническая набережная,Таганский
136,Серебрянический переулок,Таганский
137,Сибирский проезд,Таганский
138,Сивяков переулок,Таганский
139,Симоновский Вал улица,Таганский
140,Скотопрогонная улица,Таганский
141,Славянская площадь,Таганский
142,Солянка улица,Таганский
143,Солянский проезд,Таганский
144,Солянский тупик,Таганский
145,Сосинская улица,Таганский
146,Сосинский проезд,Таганский
147,Средний Международный переулок,Таганский
148,Средний Наставнический переулок,Таганский
149,Средняя Калитниковская улица,Таганский
150,Станиславского улица,Таганский
151,Стройковская улица,Таганский
152,Съезжинский переулок,Таганский
153,Сыромятнический 2-й переулок,Таганский
154,Сыромятнический 3-й переулок,Таганский
155,Таганская площадь,Таганский
156,Таганская улица,Таганский
157,Талалихина улица,Таганский
158,Тессинский переулок,Таганский
159,Тетеринский переулок,Таганский
160,Тихий тупик,Таганский
161,Товарищеский переулок,Таганский
162,Трудовая улица,Таганский
163,Устьинская набережная,Таганский
164,Устьинский проезд,Таганский
165,Хлебников переулок,Таганский
166,Чесменская улица,Таганский
167,Шелапутинский переулок,Таганский
168,Школьная улица,Таганский
169,Энтузиастов бульвар,Таганский
170,Яузская улица,Таганский
171,Яузские Ворота площадь,Таганский
172,Яузский бульвар,Таганский
0,Александра Невского переулок,Тверской
1,Александра Невского улица,Тверской
2,Биржевая площадь,Тверской
3,Благовещенский переулок,Тверской
4,Богоявленский переулок,Тверской
5,Большая Бронная улица,Тверской
6,Большая Грузинская улица,Тверской
7,Большая Дмитровка улица,Тверской
8,Большая Никитская улица,Тверской
9,Большая Садовая улица,Тверской
10,Большой Гнездниковский переулок,Тверской
11,Большой Каменный мост,Тверской
12,Большой Каретный переулок,Тверской
13,Большой Москворецкий мост,Тверской
14,Большой Палашёвский переулок,Тверской
15,Большой Путинковский переулок,Тверской
16,Большой Черкасский переулок,Тверской
17,Боровицкая площадь,Тверской
18,Борьбы площадь,Тверской
19,Брестская 1-я улица,Тверской
20,Брестская 2-я улица,Тверской
21,Брюсов переулок,Тверской
22,Бутырский Вал улица,Тверской
23,Вадковский переулок,Тверской
24,Варварка улица,Тверской
25,Варварские Ворота площадь,Тверской
26,Васильевская улица,Тверской
27,Васильевский Спуск площадь,Тверской
28,Весковский переулок,Тверской
29,Весковский тупик,Тверской
30,Ветошный переулок,Тверской
31,Вознесенский переулок,Тверской
32,Волконский 1-й переулок,Тверской
33,Волконский 2-й переулок,Тверской
34,Воротниковский переулок,Тверской
35,Воскресенские Ворота проезд,Тверской
36,Газетный переулок,Тверской
37,Гашека улица,Тверской
38,Георгиевский переулок,Тверской
39,Глинищевский переулок,Тверской
40,Горлов тупик,Тверской
41,Грузинский Вал улица,Тверской
42,Дегтярный переулок,Тверской
43,Делегатская улица,Тверской
44,Дмитровский переулок,Тверской
45,Долгоруковская улица,Тверской
46,Достоевского переулок,Тверской
47,Достоевского улица,Тверской
48,Заставный переулок,Тверской
49,Звёзд Эстрады площадь,Тверской
50,Знаменка улица,Тверской
51,Ильинка улица,Тверской
52,Ильинские Ворота площадь,Тверской
53,Ипатьевский переулок,Тверской
54,Камергерский переулок,Тверской
55,Карелин проезд,Тверской
56,Каретный Ряд улица,Тверской
57,Китайгородский проезд,Тверской
58,Козицкий переулок,Тверской
59,Колобовский 1-й переулок,Тверской
60,Колобовский 2-й переулок,Тверской
61,Колобовский 3-й переулок,Тверской
62,Копьевский переулок,Тверской
63,Косой переулок,Тверской
64,Крапивенский переулок,Тверской
65,Красная площадь,Тверской
66,Краснопролетарская улица,Тверской
67,Кремлёвский проезд,Тверской
68,Кузнецкий Мост улица,Тверской
69,Леонтьевский переулок,Тверской
70,Лесная улица,Тверской
71,Лесной 1-й переулок,Тверской
72,Лесной 2-й переулок,Тверской
73,Лесной 3-й переулок,Тверской
74,Лесной 4-й переулок,Тверской
75,Лихов переулок,Тверской
76,Лубянская площадь,Тверской
77,Лубянский проезд,Тверской
78,Малая Дмитровка улица,Тверской
79,Малый Гнездниковский переулок,Тверской
80,Малый Каретный переулок,Тверской
81,Малый Палашёвский переулок,Тверской
82,Малый Путинковский переулок,Тверской
83,Малый Черкасский переулок,Тверской
84,Мамоновский переулок,Тверской
85,Манежная площадь,Тверской
86,Манежная улица,Тверской
87,Миусская 1-я улица,Тверской
88,Миусская 2-я улица,Тверской
89,Миусская площадь,Тверской
90,Миусский переулок,Тверской
91,Москворецкая набережная,Тверской
92,Москворецкая улица,Тверской
93,Моховая улица,Тверской
94,Нарышкинский проезд,Тверской
95,Настасьинский переулок,Тверской
96,Неглинная улица,Тверской
97,Никитников переулок,Тверской
98,Никитский переулок,Тверской
99,Никольская улица,Тверской
100,Никольский переулок,Тверской
101,Никоновский переулок,Тверской
102,Новая площадь,Тверской
103,Нововоротниковский переулок,Тверской
104,Новолесная улица,Тверской
105,Новолесной переулок,Тверской
106,Новослободская улица,Тверской
107,Новосущёвская улица,Тверской
108,Оружейный переулок,Тверской
109,Охотный Ряд улица,Тверской
110,Палиха улица,Тверской
111,Перуновский переулок,Тверской
112,Петровка улица,Тверской
113,Петровские Ворота площадь,Тверской
114,Петровские Линии улица,Тверской
115,Петровский бульвар,Тверской
116,Петровский переулок,Тверской
117,Пименовский тупик,Тверской
118,Политехнический проезд,Тверской
119,Порядковый переулок,Тверской
120,Приютский переулок,Тверской
121,Пушкинская площадь,Тверской
122,Пыхов-Церковный проезд,Тверской
123,Рахмановский переулок,Тверской
124,Революции площадь,Тверской
125,Рыбный переулок,Тверской
126,Садовая-Каретная улица,Тверской
127,Садовая-Самотёчная улица,Тверской
128,Садовая-Триумфальная улица,Тверской
129,Самотёчная площадь,Тверской
130,Самотёчная улица,Тверской
131,Самотёчный 1-й переулок,Тверской
132,Самотёчный 2-й переулок,Тверской
133,Самотёчный 3-й переулок,Тверской
134,Самотёчный 4-й переулок,Тверской
135,Селезнёвская улица,Тверской
136,Семинарский тупик,Тверской
137,Славянская площадь,Тверской
138,Средний Каретный переулок,Тверской
139,Старая площадь,Тверской
140,Старопанский переулок,Тверской
141,Старопименовский переулок,Тверской
142,Столешников переулок,Тверской
143,Страстной бульвар,Тверской
144,Суворовская площадь,Тверской
145,Сущёвская улица,Тверской
146,Сущёвский Вал улица,Тверской
147,Сущёвский тупик,Тверской
148,Сытинский переулок,Тверской
149,Тверская Застава площадь,Тверской
150,Тверская площадь,Тверской
151,Тверская улица,Тверской
152,Тверская-Ямская 1-я улица,Тверской
153,Тверская-Ямская 2-я улица,Тверской
154,Тверская-Ямская 3-я улица,Тверской
155,Тверская-Ямская 4-я улица,Тверской
156,Тверской бульвар,Тверской
157,Тверской проезд,Тверской
158,Тверской-Ямской 1-й переулок,Тверской
159,Тверской-Ямской 2-й переулок,Тверской
160,Театральная площадь,Тверской
161,Театральный проезд,Тверской
162,Тихвинская улица,Тверской
163,Тихвинский 1-й тупик,Тверской
164,Тихвинский переулок,Тверской
165,Третьяковский проезд,Тверской
166,Триумфальная площадь,Тверской
167,Трубная площадь,Тверской
168,Трёхпрудный переулок,Тверской
169,Угловой переулок,Тверской
170,Успенский переулок,Тверской
171,Фадеева улица,Тверской
172,Хрустальный переулок,Тверской
173,Цветной бульвар,Тверской
174,Чаянова улица,Тверской
175,Чернышевского переулок,Тверской
176,Щемиловский 1-й переулок,Тверской
177,Щемиловский 2-й переулок,Тверской
178,Юлиуса Фучика улица,Тверской
0,Артюхиной улица,Текстильщики
1,Волгоградский проспект,Текстильщики
2,Волжский Бульвар 95 квартал,Текстильщики
3,Волжский бульвар,Текстильщики
4,Грайвороново 90а квартал,Текстильщики
5,Грайвороновская улица,Текстильщики
6,Грайвороновский 1-й проезд,Текстильщики
7,Грайвороновский 2-й проезд,Текстильщики
8,Краснодонская улица,Текстильщики
9,Люблинская улица,Текстильщики
10,Малышева улица,Текстильщики
11,Окская улица,Текстильщики
12,Остаповский проезд,Текстильщики
13,Саратовская улица,Текстильщики
14,Саратовский 1-й проезд,Текстильщики
15,Саратовский 2-й проезд,Текстильщики
16,Текстильщиков 1-я улица,Текстильщики
17,Текстильщиков 11-я улица,Текстильщики
18,Текстильщиков 7-я улица,Текстильщики
19,Текстильщиков 8-я улица,Текстильщики
20,Чистова улица,Текстильщики
21,Шкулёва улица,Текстильщики
22,Юных Ленинцев улица,Текстильщики
0,Академика Бакулева улица,Тёплый Стан
1,Академика Варги улица,Тёплый Стан
2,Академика Виноградова улица,Тёплый Стан
3,Генерала Тюленева улица,Тёплый Стан
4,Ленинский проспект,Тёплый Стан
5,Островитянова улица,Тёплый Стан
6,Профсоюзная улица,Тёплый Стан
7,Теплостанский проезд,Тёплый Стан
8,Тёплый Стан улица,Тёплый Стан
0,Академический проезд,Тимирязевский
1,Астрадамская улица,Тимирязевский
2,Астрадамский проезд,Тимирязевский
3,Большая Академическая улица,Тимирязевский
4,Бутырская улица,Тимирязевский
5,Верхняя аллея,Тимирязевский
6,Всеволода Вишневского улица,Тимирязевский
7,Вучетича улица,Тимирязевский
8,Дмитровский проезд,Тимирязевский
9,Дмитровское шоссе,Тимирязевский
10,Дубки улица,Тимирязевский
11,Ивановская улица,Тимирязевский
12,Ивановский проезд,Тимирязевский
13,Костякова улица,Тимирязевский
14,Красностуденческий проезд,Тимирязевский
15,Линейный проезд,Тимирязевский
16,Линии Октябрьской Железной Дороги улица,Тимирязевский
17,Лиственничная аллея,Тимирязевский
18,Локомотивный проезд,Тимирязевский
19,Немчинова улица,Тимирязевский
20,Нижнелихоборский 1-й проезд,Тимирязевский
21,Нижнелихоборский 3-й проезд,Тимирязевский
22,Пасечная улица,Тимирязевский
23,Продольная аллея,Тимирязевский
24,Прянишникова улица,Тимирязевский
25,Соломенной Сторожки проезд,Тимирязевский
26,Тимирязевская улица,Тимирязевский
27,Тимирязевский проезд,Тимирязевский
28,Чуксин тупик,Тимирязевский
0,Академика Анохина улица,Тропарёво-Никулино
1,Бакинских Комиссаров 26-ти улица,Тропарёво-Никулино
2,Вернадского проспект,Тропарёво-Никулино
3,Востряковское шоссе,Тропарёво-Никулино
4,Коштоянца улица,Тропарёво-Никулино
5,Ленинский проспект,Тропарёво-Никулино
6,Мичуринский Проспект Олимпийская Деревня улица,Тропарёво-Никулино
7,Мичуринский проспект,Тропарёво-Никулино
8,Никулинская улица,Тропарёво-Никулино
9,Озёрная улица,Тропарёво-Никулино
10,Олимпийской Деревни проезд,Тропарёво-Никулино
11,Покрышкина улица,Тропарёво-Никулино
12,Рузская улица,Тропарёво-Никулино
13,Тропаревская улица,Тропарёво-Никулино
0,Алёшкинский проезд,Тушино Северное
1,Братцевская улица,Тушино Северное
2,Вилиса Лациса улица,Тушино Северное
3,Героев Панфиловцев улица,Тушино Северное
4,Новобутаково посёлок,Тушино Северное
5,Планерная улица,Тушино Северное
6,Саломеи Нерис улица,Тушино Северное
7,Свободы улица,Тушино Северное
8,Туристская улица,Тушино Северное
9,Фомичёвой улица,Тушино Северное
10,Химкинский бульвар,Тушино Северное
11,Химкинский мост,Тушино Северное
12,Яна Райниса бульвар,Тушино Северное
0,Аэродромная улица,Тушино Южное
1,Василия Петушкова улица,Тушино Южное
2,Донелайтиса проезд,Тушино Южное
3,Досфлота проезд,Тушино Южное
4,Лодочная улица,Тушино Южное
5,Нелидовская улица,Тушино Южное
6,Новопоселковая улица,Тушино Южное
7,Окружная улица,Тушино Южное
8,Парусный проезд,Тушино Южное
9,Походный проезд,Тушино Южное
10,Проектируемый проезд N 4025,Тушино Южное
11,Саломеи Нерис улица,Тушино Южное
12,Светлогорский проезд,Тушино Южное
13,Свободы улица,Тушино Южное
14,Спасский мост,Тушино Южное
15,Строительный проезд,Тушино Южное
16,Сходненская улица,Тушино Южное
17,Сходненский проезд,Тушино Южное
18,Сходненский тупик,Тушино Южное
19,Трикотажный проезд,Тушино Южное
20,Туристская улица,Тушино Южное
21,Фабрициуса улица,Тушино Южное
22,Фабричный проезд,Тушино Южное
23,Химкинский бульвар,Тушино Южное
24,Цветочный проезд,Тушино Южное
25,Штурвальная улица,Тушино Южное
26,Яна Райниса бульвар,Тушино Южное
0,Алябьева улица,Филёвский парк
1,Багратионовский проезд,Филёвский парк
2,Барклая улица,Филёвский парк
3,Береговой проезд,Филёвский парк
4,Большая Филёвская улица,Филёвский парк
5,Василисы Кожиной улица,Филёвский парк
6,Заречная улица,Филёвский парк
7,Звенигородская улица,Филёвский парк
8,Кастанаевская улица,Филёвский парк
9,Крылатская улица,Филёвский парк
10,Крылатский мост,Филёвский парк
11,Минская улица,Филёвский парк
12,Московско-Минской Дивизии площадь,Филёвский парк
13,Мясищева улица,Филёвский парк
14,Новозаводская улица,Филёвский парк
15,Олеко Дундича улица,Филёвский парк
16,Проектируемый проезд N 153,Филёвский парк
17,Промышленный проезд,Филёвский парк
18,Ромена Роллана площадь,Филёвский парк
19,Рублёвское шоссе,Филёвский парк
20,Сеславинская улица,Филёвский парк
21,Тучковская улица,Филёвский парк
22,Физкультурный проезд,Филёвский парк
23,Филёвская 2-я улица,Филёвский парк
24,Филёвская 3-я улица,Филёвский парк
25,Филёвская набережная,Филёвский парк
26,Филёвский бульвар,Филёвский парк
27,Шелепихинский мост,Филёвский парк
0,Алексея Свиридова улица,Фили-Давыдково
1,Аминьевский мост,Фили-Давыдково
2,Аминьевское шоссе,Фили-Давыдково
3,Артамонова улица,Фили-Давыдково
4,Большая Филёвская улица,Фили-Давыдково
5,Ватутина улица,Фили-Давыдково
6,Ворошиловский парк,Фили-Давыдково
7,Герасима Курина улица,Фили-Давыдково
8,Давыдковская улица,Фили-Давыдково
9,Житомирская улица,Фили-Давыдково
10,Звенигородская улица,Фили-Давыдково
11,Звенигородский переулок,Фили-Давыдково
12,Ивана Франко улица,Фили-Давыдково
13,Инициативная улица,Фили-Давыдково
14,Кастанаевская улица,Фили-Давыдково
15,Клочкова улица,Фили-Давыдково
16,Кременчугская улица,Фили-Давыдково
17,Кутузовский проспект,Фили-Давыдково
18,Малая Филёвская улица,Фили-Давыдково
19,Минская улица,Фили-Давыдково
20,Олеко Дундича улица,Фили-Давыдково
21,Пивченкова улица,Фили-Давыдково
22,Пинский проезд,Фили-Давыдково
23,Полосухина улица,Фили-Давыдково
24,Ромена Роллана площадь,Фили-Давыдково
25,Рублёвское шоссе,Фили-Давыдково
26,Славянский бульвар,Фили-Давыдково
27,Староволынская улица,Фили-Давыдково
28,Староможайское шоссе,Фили-Давыдково
29,Тарутинская улица,Фили-Давыдково
0,10-летия Октября улица,Хамовники
1,Абрикосовский переулок,Хамовники
2,Андреевский мост,Хамовники
3,Архивный 1-й переулок,Хамовники
4,Барыковский переулок,Хамовники
5,Бережковский мост,Хамовники
6,Большая Пироговская улица,Хамовники
7,Большой Афанасьевский переулок,Хамовники
8,Большой Власьевский переулок,Хамовники
9,Большой Знаменский переулок,Хамовники
10,Большой Каменный мост,Хамовники
11,Большой Лёвшинский переулок,Хамовники
12,Большой Могильцевский переулок,Хамовники
13,Большой Саввинский переулок,Хамовники
14,Большой Чудов переулок,Хамовники
15,Боровицкая площадь,Хамовники
16,Бородинский мост,Хамовники
17,Бурденко улица,Хамовники
18,Бутиковский переулок,Хамовники
19,Волхонка улица,Хамовники
20,Вражский 1-й переулок,Хамовники
21,Вражский 2-й переулок,Хамовники
22,Всеволожский переулок,Хамовники
23,Всехсвятский проезд,Хамовники
24,Гагаринский переулок,Хамовники
25,Глазовский переулок,Хамовники
26,Гоголевский бульвар,Хамовники
27,Дашков переулок,Хамовники
28,Девичьего Поля проезд,Хамовники
29,Денежный переулок,Хамовники
30,Доватора улица,Хамовники
31,Еланского улица,Хамовники
32,Еропкинский переулок,Хамовники
33,Ефремова улица,Хамовники
34,Зачатьевский 1-й переулок,Хамовники
35,Зачатьевский 2-й переулок,Хамовники
36,Зачатьевский 3-й переулок,Хамовники
37,Земледельческий переулок,Хамовники
38,Знаменка улица,Хамовники
39,Зубовская площадь,Хамовники
40,Зубовская улица,Хамовники
41,Зубовский бульвар,Хамовники
42,Зубовский проезд,Хамовники
43,Колымажный переулок,Хамовники
44,Комсомольский проспект,Хамовники
45,Кооперативная улица,Хамовники
46,Коробейников переулок,Хамовники
47,Кремлёвская набережная,Хамовники
48,Кропоткинский переулок,Хамовники
49,Крымская площадь,Хамовники
50,Крымский мост,Хамовники
51,Крымский проезд,Хамовники
52,Ксеньинский переулок,Хамовники
53,Курсовой переулок,Хамовники
54,Лебяжий переулок,Хамовники
55,Ленивка улица,Хамовники
56,Лопухинский переулок,Хамовники
57,Лужнецкая набережная,Хамовники
58,Лужнецкий мост,Хамовники
59,Лужнецкий проезд,Хамовники
60,Лужники улица,Хамовники
61,Льва Толстого улица,Хамовники
62,Малая Пироговская улица,Хамовники
63,Малый Боженинский переулок,Хамовники
64,Малый Власьевский переулок,Хамовники
65,Малый Знаменский переулок,Хамовники
66,Малый Лёвшинский переулок,Хамовники
67,Малый Могильцевский переулок,Хамовники
68,Малый Саввинский переулок,Хамовники
69,Мансуровский переулок,Хамовники
70,Молочный переулок,Хамовники
71,Нащокинский переулок,Хамовники
72,Неопалимовский 1-й переулок,Хамовники
73,Неопалимовский 2-й переулок,Хамовники
74,Неопалимовский 3-й переулок,Хамовники
75,Несвижский переулок,Хамовники
76,Новоандреевский мост,Хамовники
77,Новодевичий проезд,Хамовники
78,Новодевичьего Монастыря площадь,Хамовники
79,Новодевичья набережная,Хамовники
80,Новоконюшенный переулок,Хамовники
81,Новокрымский проезд,Хамовники
82,Новолужнецкий проезд,Хамовники
83,Оболенский переулок,Хамовники
84,Обыденский 1-й переулок,Хамовники
85,Обыденский 2-й переулок,Хамовники
86,Обыденский 3-й переулок,Хамовники
87,Олсуфьевский переулок,Хамовники
88,Остоженка улица,Хамовники
89,Патриарший мост,Хамовники
90,Плотников переулок,Хамовники
91,Плющиха улица,Хамовники
92,Погодинская улица,Хамовники
93,Пожарский переулок,Хамовники
94,Померанцев переулок,Хамовники
95,Пречистенка улица,Хамовники
96,Пречистенская набережная,Хамовники
97,Пречистенские Ворота площадь,Хамовники
98,Пречистенский переулок,Хамовники
99,Пуговишников переулок,Хамовники
100,Россолимо улица,Хамовники
101,Ростовская набережная,Хамовники
102,Ростовский 2-й переулок,Хамовники
103,Ростовский 4-й переулок,Хамовники
104,Ростовский 6-й переулок,Хамовники
105,Ростовский 7-й переулок,Хамовники
106,Ружейный переулок,Хамовники
107,Саввинская набережная,Хамовники
108,Савельева улица,Хамовники
109,Серпов переулок,Хамовники
110,Сеченовский переулок,Хамовники
111,Сивцев Вражек переулок,Хамовники
112,Смоленская улица,Хамовники
113,Смоленская-Сенная площадь,Хамовники
114,Смоленский бульвар,Хамовники
115,Соймоновский проезд,Хамовники
116,Староконюшенный переулок,Хамовники
117,Тимура Фрунзе улица,Хамовники
118,Трубецкая улица,Хамовники
119,Тружеников 1-й переулок,Хамовники
120,Тружеников 2-й переулок,Хамовники
121,Тружеников 3-й переулок,Хамовники
122,Турчанинов переулок,Хамовники
123,Усачёва улица,Хамовники
124,Учебный переулок,Хамовники
125,Фрунзенская 1-я улица,Хамовники
126,Фрунзенская 2-я улица,Хамовники
127,Фрунзенская 3-я улица,Хамовники
128,Фрунзенская набережная,Хамовники
129,Хамовнический Вал улица,Хамовники
130,Хилков переулок,Хамовники
131,Хмельницкого мост,Хамовники
132,Хользунова переулок,Хамовники
133,Хрущёвский переулок,Хамовники
134,Чертольский переулок,Хамовники
135,Чистый переулок,Хамовники
136,Шибаевский 1-й переулок,Хамовники
137,Языковский переулок,Хамовники
0,Беломорская улица,Ховрино
1,Деповская улица,Ховрино
2,Дыбенко улица,Ховрино
3,Зеленоградская улица,Ховрино
4,Клинская улица,Ховрино
5,Клинский проезд,Ховрино
6,Лавочкина улица,Ховрино
7,Левобережная улица,Ховрино
8,Ляпидевского улица,Ховрино
9,Онежская улица,Ховрино
10,Петрозаводская улица,Ховрино
11,Смольная улица,Ховрино
12,Фестивальная улица,Ховрино
13,Флотская улица,Ховрино
0,Берзарина улица,Хорошёво-Мневники
1,Генерала Глаголева улица,Хорошёво-Мневники
2,Генерала Карбышева бульвар,Хорошёво-Мневники
3,Главмосстроя посёлок,Хорошёво-Мневники
4,Главмосстроя проезд,Хорошёво-Мневники
5,Демьяна Бедного улица,Хорошёво-Мневники
6,Живописная улица,Хорошёво-Мневники
7,Живописный мост,Хорошёво-Мневники
8,Звенигородское шоссе,Хорошёво-Мневники
9,Карамышевская набережная,Хорошёво-Мневники
10,Карамышевский мост,Хорошёво-Мневники
11,Карамышевский проезд,Хорошёво-Мневники
12,Крылатский мост,Хорошёво-Мневники
13,Маршала Бабаджаняна площадь,Хорошёво-Мневники
14,Маршала Жукова проспект,Хорошёво-Мневники
15,Маршала Тухачевского улица,Хорошёво-Мневники
16,Мнёвники улица,Хорошёво-Мневники
17,Народного Ополчения улица,Хорошёво-Мневники
18,Нижние Мнёвники посёлок,Хорошёво-Мневники
19,Нижние Мнёвники улица,Хорошёво-Мневники
20,Новикова-Прибоя набережная,Хорошёво-Мневники
21,Новохорошевский проезд,Хорошёво-Мневники
22,Паршина улица,Хорошёво-Мневники
23,Причальный проезд,Хорошёво-Мневники
24,Саляма Адиля улица,Хорошёво-Мневники
25,Силикатный 1-й проезд,Хорошёво-Мневники
26,Силикатный 2-й проезд,Хорошёво-Мневники
27,Силикатный 3-й проезд,Хорошёво-Мневники
28,Таманская улица,Хорошёво-Мневники
29,Терехово посёлок,Хорошёво-Мневники
30,Хорошёвская 3-я улица,Хорошёво-Мневники
31,Хорошёвский мост,Хорошёво-Мневники
32,Хорошёвского Серебряного Бора 1-я линия,Хорошёво-Мневники
33,Хорошёвского Серебряного Бора 2-я линия,Хорошёво-Мневники
34,Хорошёвского Серебряного Бора 3-я линия,Хорошёво-Мневники
35,Хорошёвского Серебряного Бора 4-я линия,Хорошёво-Мневники
36,Хорошёвского Серебряного Бора Центральный проезд,Хорошёво-Мневники
37,Шелепихинская набережная,Хорошёво-Мневники
38,Шеногина улица,Хорошёво-Мневники
0,Авиаконструктора Микояна улица,Хорошёвский
1,Авиаконструктора Сухого улица,Хорошёвский
2,Аэропорта проезд,Хорошёвский
3,Беговая улица,Хорошёвский
4,Берёзовой Рощи проезд,Хорошёвский
5,Викторенко улица,Хорошёвский
6,Гризодубовой улица,Хорошёвский
7,Зорге улица,Хорошёвский
8,Куусинена улица,Хорошёвский
9,Ленинградский проспект,Хорошёвский
10,Магистральная 1-я улица,Хорошёвский
11,Магистральная 2-я улица,Хорошёвский
12,Магистральная 3-я улица,Хорошёвский
13,Магистральная 4-я улица,Хорошёвский
14,Магистральная 5-я улица,Хорошёвский
15,Магистральный 1-й проезд,Хорошёвский
16,Магистральный 1-й тупик,Хорошёвский
17,Магистральный 2-й тупик,Хорошёвский
18,Магистральный переулок,Хорошёвский
19,Острякова улица,Хорошёвский
20,Песчаная 2-я улица,Хорошёвский
21,Песчаная 3-я улица,Хорошёвский
22,Поликарпова улица,Хорошёвский
23,Полины Осипенко улица,Хорошёвский
24,Проектируемый проезд N 1087,Хорошёвский
25,Проектируемый проезд N 5509,Хорошёвский
26,Розанова улица,Хорошёвский
27,Ходынский бульвар,Хорошёвский
28,Хорошёвский 1-й проезд,Хорошёвский
29,Хорошёвский 2-й проезд,Хорошёвский
30,Хорошёвский 3-й проезд,Хорошёвский
31,Хорошёвский тупик,Хорошёвский
32,Хорошёвское шоссе,Хорошёвский
33,Чапаевский переулок,Хорошёвский
0,Бакинская улица,Царицыно
1,Бехтерева улица,Царицыно
2,Весёлая улица,Царицыно
3,Деловая улица,Царицыно
4,Дольская улица,Царицыно
5,Ереванская улица,Царицыно
6,Кавказский бульвар,Царицыно
7,Кантемировская улица,Царицыно
8,Каспийская улица,Царицыно
9,Коллективный проезд,Царицыно
10,Котляковский 1-й переулок,Царицыно
11,Лисичанская улица,Царицыно
12,Луганская улица,Царицыно
13,Макеевская улица,Царицыно
14,Медиков улица,Царицыно
15,Новоцарицынское шоссе,Царицыно
16,Пролетарский проспект,Царицыно
17,Промышленная улица,Царицыно
18,Севанская улица,Царицыно
19,Солнечная улица,Царицыно
20,Спортивная улица (Царицыно),Царицыно
21,Тарный проезд,Царицыно
22,Тимуровская улица,Царицыно
23,Товарищеская улица,Царицыно
0,Архитектора Власова улица,Черёмушки
1,Гарибальди улица,Черёмушки
2,Зюзинская улица,Черёмушки
3,Иосипа Броз Тито площадь,Черёмушки
4,Каховка улица,Черёмушки
5,Намёткина улица,Черёмушки
6,Научный проезд,Черёмушки
7,Нахимовский проспект,Черёмушки
8,Новочерёмушкинская улица,Черёмушки
9,Новые Черёмушки 32а квартал,Черёмушки
10,Обручева улица,Черёмушки
11,Перекопская улица,Черёмушки
12,Профсоюзная улица,Черёмушки
13,Севастопольский проспект,Черёмушки
14,Херсонская улица,Черёмушки
15,Хлебобулочный проезд,Черёмушки
16,Цюрупы улица,Черёмушки
0,Балаклавский проспект,Чертаново Северное
1,Варшавское шоссе,Чертаново Северное
2,Днепропетровская улица,Чертаново Северное
3,Дорожная улица,Чертаново Северное
4,Кировоградская улица,Чертаново Северное
5,Северное Чертаново микрорайон,Чертаново Северное
